gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
925601886	http://www.inbo.be/en/norms-for-data-use			http://creativecommons.org/publicdomain/zero/1.0/				INBO				https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HumanObservation	Length and weight measurements available upon request.			INBO:VIS:00655360			Gerlinde Van Thuyne		1													present																				INBO:VIS:Ev:00008246				2012-09-13							2012-09-13/2012-09-13	enclosed water	electrofishing with 2 anodes by boat						visbestanden:GEMEZ2			Europe	Grindplas Eisden Mijn				BE					Elektrische zone 2 - Grindplas Eisden Mijn												50.99585	5.67815	WGS84	250				188103	241918	Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus								Animalia																			gevlekte Amerikaanse rivierkreeft	ICZN			
911440394					2015-04-29T13:49:54Z		https://www.diveboard.com/aquazappa/D9Xe4s	Diveboard	Event			https://ipt.diveboard.com/resource.do?r=diveboard-occurrences	Diveboard	Diveboard	Diveboard - Scuba diving citizen science	Diveboard	HumanObservation				diveboard:130251_344149_0	diveboard:130251_344149_0		Bieke Daneels															Present									Non validated citizen science record															2014-04-26T17:30:00Z									citizen science scuba dive observation										Grote Put Van Ekeren			Belgium	BE				Put Van Ekeren	Put Van Ekeren, Ekeren	0	0			0	10.0						51.2837	4.39579	EPSG:3857	100														Google Maps																								Bieke Daneels		2014-04-26				http://eol.org/pages/344149								Orconectes limosus (Rafinesque, 1817)				EOL																				unclassified							
896186079					2015-04-29T13:49:18Z		https://www.diveboard.com/aquazappa/D6kQ7uU	Diveboard	Event			https://ipt.diveboard.com/resource.do?r=diveboard-occurrences	Diveboard	Diveboard	Diveboard - Scuba diving citizen science	Diveboard	HumanObservation				diveboard:128026_344149_0	diveboard:128026_344149_0		Bieke Daneels															Present									Non validated citizen science record															2014-03-22T04:00:00Z									citizen science scuba dive observation										Grote Put Van Ekeren			Belgium	BE				Put Van Ekeren	Put Van Ekeren, Ekeren	0	0			0	14.0						51.2837	4.39579	EPSG:3857	100														Google Maps																								Bieke Daneels		2014-03-22				http://eol.org/pages/344149								Orconectes limosus (Rafinesque, 1817)				EOL																				unclassified							
895555246	http://www.inbo.be/en/norms-for-data-use			http://creativecommons.org/publicdomain/zero/1.0/				INBO				https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HumanObservation	Length and weight measurements available upon request.			INBO:VIS:00662910			Gerlinde Van Thuyne		3													present																				INBO:VIS:Ev:00008352				2013-11-12							2013-11-12/2013-11-12	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:RPF02			Europe	Rauwput				BE					RauwputSchietfuik2												51.22292	5.21196	WGS84	250				212888	208907	Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus								Animalia																			gevlekte Amerikaanse rivierkreeft	ICZN			
895555245	http://www.inbo.be/en/norms-for-data-use			http://creativecommons.org/publicdomain/zero/1.0/				INBO				https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HumanObservation	Length and weight measurements available upon request.			INBO:VIS:00662970			Gerlinde Van Thuyne		2													present																				INBO:VIS:Ev:00008346				2013-11-12							2013-11-12/2013-11-12	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:RPF04			Europe	Rauwput				BE					RauwputSchietfuik4												51.22525	5.20753	WGS84	250				213144	208594	Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus								Animalia																			gevlekte Amerikaanse rivierkreeft	ICZN			
895555228	http://www.inbo.be/en/norms-for-data-use			http://creativecommons.org/publicdomain/zero/1.0/				INBO				https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HumanObservation	Length and weight measurements available upon request.			INBO:VIS:00662972			Gerlinde Van Thuyne		3													present																				INBO:VIS:Ev:00008362				2013-11-12							2013-11-12/2013-11-12	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:RPF05			Europe	Rauwput				BE					RauwputSchietfuik5												51.22419	5.20253	WGS84	250				213022	208246	Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus								Animalia																			gevlekte Amerikaanse rivierkreeft	ICZN			
895555212	http://www.inbo.be/en/norms-for-data-use			http://creativecommons.org/publicdomain/zero/1.0/				INBO				https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HumanObservation	Length and weight measurements available upon request.			INBO:VIS:00662986			Gerlinde Van Thuyne		1													present																				INBO:VIS:Ev:00008353				2013-11-12							2013-11-12/2013-11-12	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:RPF19			Europe	Rauwput				BE					RauwputSchietfuik19												51.22877	5.18987	WGS84	250				213522	207356	Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus								Animalia																			gevlekte Amerikaanse rivierkreeft	ICZN			
895555210	http://www.inbo.be/en/norms-for-data-use			http://creativecommons.org/publicdomain/zero/1.0/				INBO				https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HumanObservation	Length and weight measurements available upon request.			INBO:VIS:00662958			Gerlinde Van Thuyne		3													present																				INBO:VIS:Ev:00008367				2013-11-12							2013-11-12/2013-11-12	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:RPF03			Europe	Rauwput				BE					RauwputSchietfuik3												51.22422	5.21378	WGS84	250				213034	209032	Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus								Animalia																			gevlekte Amerikaanse rivierkreeft	ICZN			
895555209	http://www.inbo.be/en/norms-for-data-use			http://creativecommons.org/publicdomain/zero/1.0/				INBO				https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HumanObservation	Length and weight measurements available upon request.			INBO:VIS:00662960			Gerlinde Van Thuyne		2													present																				INBO:VIS:Ev:00008361				2013-11-12							2013-11-12/2013-11-12	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:RPF11			Europe	Rauwput				BE					RauwputSchietfuik11												51.22539	5.18857	WGS84	250				213144	207270	Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus								Animalia																			gevlekte Amerikaanse rivierkreeft	ICZN			
895555153	http://www.inbo.be/en/norms-for-data-use			http://creativecommons.org/publicdomain/zero/1.0/				INBO				https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HumanObservation	Length and weight measurements available upon request.			INBO:VIS:00662987			Gerlinde Van Thuyne		2													present																				INBO:VIS:Ev:00008370				2013-11-12							2013-11-12/2013-11-12	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:RPF09			Europe	Rauwput				BE					RauwputSchietfuik9												51.22045	5.19433	WGS84	250				212599	207678	Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus								Animalia																			gevlekte Amerikaanse rivierkreeft	ICZN			
