gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	taxonomicIssue	nonTaxonomicIssue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	isInvasive	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
925601886	http://www.inbo.be/en/norms-for-data-use		en	CC0_1_0				INBO	Event			https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HUMAN_OBSERVATION	Length and weight measurements available upon request.			INBO:VIS:00655360			Gerlinde Van Thuyne		1													PRESENT																			INBO:VIS:Ev:00008246				2012-09-13		257	257	2012	9	13	2012-09-13/2012-09-13	enclosed water	electrofishing with 2 anodes by boat						visbestanden:GEMEZ2			EUROPE	Grindplas Eisden Mijn			BE					Elektrische zone 2 - Grindplas Eisden Mijn								50.99585	5.67815	250.0			Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus (Rafinesque, 1817)								Animalia	Arthropoda	Malacostraca	Decapoda		Cambaridae				Faxonius	Orconectes			limosus			SPECIES		gevlekte Amerikaanse rivierkreeft	ICZN	SYNONYM			823dc56e-f987-495c-98bf-43318719e30f	BE	2025-11-25T19:53:41.695Z										true	false	2227000	8909595	1	54	229	637	4479	4646327		8909595	Faxonius limosus	Faxonius limosus (Rafinesque, 1817)	Orconectes limosus		EML	2025-11-25T19:53:41.695Z	2025-11-18T12:15:18.894Z		false			false	EUROPE	EUROPE	BEL	Belgium	BEL.2_1	Vlaanderen	BEL.2.2_1	Limburg	BEL.2.2.3_1	Tongeren	
911440394				CC_BY_NC_4_0	2015-04-29T13:49:54Z		https://www.diveboard.com/aquazappa/D9Xe4s	Diveboard	Event			https://ipt.diveboard.com/resource.do?r=diveboard-occurrences	Diveboard	Diveboard	Diveboard - Scuba diving citizen science	Diveboard	HUMAN_OBSERVATION				diveboard:130251_344149_0	diveboard:130251_344149_0		Bieke Daneels															PRESENT								Non validated citizen science record															2014-04-26T17:30Z		116	116	2014	4	26			citizen science scuba dive observation									EUROPE	Grote Put Van Ekeren			BE				Put Van Ekeren	Put Van Ekeren, Ekeren								51.2837	4.39579	100.0											Google Maps																								Bieke Daneels		2014-04-26T00:00:00				http://eol.org/pages/344149								Orconectes limosus (Rafinesque, 1817)				EOL				Animalia	Arthropoda	Malacostraca	Decapoda		Cambaridae				Faxonius	Orconectes			limosus			SPECIES				SYNONYM			66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2	FR	2025-11-24T17:40:46.022Z	0.0	0.0	5.0	5.0		COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND				true	false	2227000	8909595	1	54	229	637	4479	4646327		8909595	Faxonius limosus	Faxonius limosus (Rafinesque, 1817)	Orconectes limosus (Rafinesque, 1817)		EML	2025-11-24T17:40:46.022Z	2025-11-17T11:39:29.445Z		true			false	EUROPE	EUROPE	BEL	Belgium	BEL.2_1	Vlaanderen	BEL.2.1_1	Antwerpen	BEL.2.1.1_1	Antwerpen	
896186079				CC_BY_NC_4_0	2015-04-29T13:49:18Z		https://www.diveboard.com/aquazappa/D6kQ7uU	Diveboard	Event			https://ipt.diveboard.com/resource.do?r=diveboard-occurrences	Diveboard	Diveboard	Diveboard - Scuba diving citizen science	Diveboard	HUMAN_OBSERVATION				diveboard:128026_344149_0	diveboard:128026_344149_0		Bieke Daneels															PRESENT								Non validated citizen science record															2014-03-22T04:00Z		81	81	2014	3	22			citizen science scuba dive observation									EUROPE	Grote Put Van Ekeren			BE				Put Van Ekeren	Put Van Ekeren, Ekeren								51.2837	4.39579	100.0											Google Maps																								Bieke Daneels		2014-03-22T00:00:00				http://eol.org/pages/344149								Orconectes limosus (Rafinesque, 1817)				EOL				Animalia	Arthropoda	Malacostraca	Decapoda		Cambaridae				Faxonius	Orconectes			limosus			SPECIES				SYNONYM			66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2	FR	2025-11-24T17:40:48.713Z	0.0	0.0	7.0	7.0		COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND				true	false	2227000	8909595	1	54	229	637	4479	4646327		8909595	Faxonius limosus	Faxonius limosus (Rafinesque, 1817)	Orconectes limosus (Rafinesque, 1817)		EML	2025-11-24T17:40:48.713Z	2025-11-17T11:39:29.445Z		true			false	EUROPE	EUROPE	BEL	Belgium	BEL.2_1	Vlaanderen	BEL.2.1_1	Antwerpen	BEL.2.1.1_1	Antwerpen	
895555246	http://www.inbo.be/en/norms-for-data-use		en	CC0_1_0				INBO	Event			https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HUMAN_OBSERVATION	Length and weight measurements available upon request.			INBO:VIS:00662910			Gerlinde Van Thuyne		3													PRESENT																			INBO:VIS:Ev:00008352				2013-11-12		316	316	2013	11	12	2013-11-12/2013-11-12	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:RPF02			EUROPE	Rauwput			BE					RauwputSchietfuik2								51.22292	5.21196	250.0			Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus (Rafinesque, 1817)								Animalia	Arthropoda	Malacostraca	Decapoda		Cambaridae				Faxonius	Orconectes			limosus			SPECIES		gevlekte Amerikaanse rivierkreeft	ICZN	SYNONYM			823dc56e-f987-495c-98bf-43318719e30f	BE	2025-11-25T19:53:37.809Z										true	false	2227000	8909595	1	54	229	637	4479	4646327		8909595	Faxonius limosus	Faxonius limosus (Rafinesque, 1817)	Orconectes limosus		EML	2025-11-25T19:53:37.809Z	2025-11-18T12:15:18.894Z		false			false	EUROPE	EUROPE	BEL	Belgium	BEL.2_1	Vlaanderen	BEL.2.1_1	Antwerpen	BEL.2.1.3_1	Turnhout	
895555245	http://www.inbo.be/en/norms-for-data-use		en	CC0_1_0				INBO	Event			https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HUMAN_OBSERVATION	Length and weight measurements available upon request.			INBO:VIS:00662970			Gerlinde Van Thuyne		2													PRESENT																			INBO:VIS:Ev:00008346				2013-11-12		316	316	2013	11	12	2013-11-12/2013-11-12	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:RPF04			EUROPE	Rauwput			BE					RauwputSchietfuik4								51.22525	5.20753	250.0			Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus (Rafinesque, 1817)								Animalia	Arthropoda	Malacostraca	Decapoda		Cambaridae				Faxonius	Orconectes			limosus			SPECIES		gevlekte Amerikaanse rivierkreeft	ICZN	SYNONYM			823dc56e-f987-495c-98bf-43318719e30f	BE	2025-11-25T19:53:38.223Z										true	false	2227000	8909595	1	54	229	637	4479	4646327		8909595	Faxonius limosus	Faxonius limosus (Rafinesque, 1817)	Orconectes limosus		EML	2025-11-25T19:53:38.223Z	2025-11-18T12:15:18.894Z		false			false	EUROPE	EUROPE	BEL	Belgium	BEL.2_1	Vlaanderen	BEL.2.1_1	Antwerpen	BEL.2.1.3_1	Turnhout	
895555228	http://www.inbo.be/en/norms-for-data-use		en	CC0_1_0				INBO	Event			https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HUMAN_OBSERVATION	Length and weight measurements available upon request.			INBO:VIS:00662972			Gerlinde Van Thuyne		3													PRESENT																			INBO:VIS:Ev:00008362				2013-11-12		316	316	2013	11	12	2013-11-12/2013-11-12	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:RPF05			EUROPE	Rauwput			BE					RauwputSchietfuik5								51.22419	5.20253	250.0			Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus (Rafinesque, 1817)								Animalia	Arthropoda	Malacostraca	Decapoda		Cambaridae				Faxonius	Orconectes			limosus			SPECIES		gevlekte Amerikaanse rivierkreeft	ICZN	SYNONYM			823dc56e-f987-495c-98bf-43318719e30f	BE	2025-11-25T19:53:38.217Z										true	false	2227000	8909595	1	54	229	637	4479	4646327		8909595	Faxonius limosus	Faxonius limosus (Rafinesque, 1817)	Orconectes limosus		EML	2025-11-25T19:53:38.217Z	2025-11-18T12:15:18.894Z		false			false	EUROPE	EUROPE	BEL	Belgium	BEL.2_1	Vlaanderen	BEL.2.1_1	Antwerpen	BEL.2.1.3_1	Turnhout	
895555212	http://www.inbo.be/en/norms-for-data-use		en	CC0_1_0				INBO	Event			https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HUMAN_OBSERVATION	Length and weight measurements available upon request.			INBO:VIS:00662986			Gerlinde Van Thuyne		1													PRESENT																			INBO:VIS:Ev:00008353				2013-11-12		316	316	2013	11	12	2013-11-12/2013-11-12	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:RPF19			EUROPE	Rauwput			BE					RauwputSchietfuik19								51.22877	5.18987	250.0			Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus (Rafinesque, 1817)								Animalia	Arthropoda	Malacostraca	Decapoda		Cambaridae				Faxonius	Orconectes			limosus			SPECIES		gevlekte Amerikaanse rivierkreeft	ICZN	SYNONYM			823dc56e-f987-495c-98bf-43318719e30f	BE	2025-11-25T19:53:38.215Z										true	false	2227000	8909595	1	54	229	637	4479	4646327		8909595	Faxonius limosus	Faxonius limosus (Rafinesque, 1817)	Orconectes limosus		EML	2025-11-25T19:53:38.215Z	2025-11-18T12:15:18.894Z		false			false	EUROPE	EUROPE	BEL	Belgium	BEL.2_1	Vlaanderen	BEL.2.1_1	Antwerpen	BEL.2.1.3_1	Turnhout	
895555210	http://www.inbo.be/en/norms-for-data-use		en	CC0_1_0				INBO	Event			https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HUMAN_OBSERVATION	Length and weight measurements available upon request.			INBO:VIS:00662958			Gerlinde Van Thuyne		3													PRESENT																			INBO:VIS:Ev:00008367				2013-11-12		316	316	2013	11	12	2013-11-12/2013-11-12	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:RPF03			EUROPE	Rauwput			BE					RauwputSchietfuik3								51.22422	5.21378	250.0			Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus (Rafinesque, 1817)								Animalia	Arthropoda	Malacostraca	Decapoda		Cambaridae				Faxonius	Orconectes			limosus			SPECIES		gevlekte Amerikaanse rivierkreeft	ICZN	SYNONYM			823dc56e-f987-495c-98bf-43318719e30f	BE	2025-11-25T19:53:34.675Z										true	false	2227000	8909595	1	54	229	637	4479	4646327		8909595	Faxonius limosus	Faxonius limosus (Rafinesque, 1817)	Orconectes limosus		EML	2025-11-25T19:53:34.675Z	2025-11-18T12:15:18.894Z		false			false	EUROPE	EUROPE	BEL	Belgium	BEL.2_1	Vlaanderen	BEL.2.1_1	Antwerpen	BEL.2.1.3_1	Turnhout	
895555209	http://www.inbo.be/en/norms-for-data-use		en	CC0_1_0				INBO	Event			https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HUMAN_OBSERVATION	Length and weight measurements available upon request.			INBO:VIS:00662960			Gerlinde Van Thuyne		2													PRESENT																			INBO:VIS:Ev:00008361				2013-11-12		316	316	2013	11	12	2013-11-12/2013-11-12	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:RPF11			EUROPE	Rauwput			BE					RauwputSchietfuik11								51.22539	5.18857	250.0			Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus (Rafinesque, 1817)								Animalia	Arthropoda	Malacostraca	Decapoda		Cambaridae				Faxonius	Orconectes			limosus			SPECIES		gevlekte Amerikaanse rivierkreeft	ICZN	SYNONYM			823dc56e-f987-495c-98bf-43318719e30f	BE	2025-11-25T19:53:36.409Z										true	false	2227000	8909595	1	54	229	637	4479	4646327		8909595	Faxonius limosus	Faxonius limosus (Rafinesque, 1817)	Orconectes limosus		EML	2025-11-25T19:53:36.409Z	2025-11-18T12:15:18.894Z		false			false	EUROPE	EUROPE	BEL	Belgium	BEL.2_1	Vlaanderen	BEL.2.1_1	Antwerpen	BEL.2.1.3_1	Turnhout	
895555153	http://www.inbo.be/en/norms-for-data-use		en	CC0_1_0				INBO	Event			https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HUMAN_OBSERVATION	Length and weight measurements available upon request.			INBO:VIS:00662987			Gerlinde Van Thuyne		2													PRESENT																			INBO:VIS:Ev:00008370				2013-11-12		316	316	2013	11	12	2013-11-12/2013-11-12	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:RPF09			EUROPE	Rauwput			BE					RauwputSchietfuik9								51.22045	5.19433	250.0			Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus (Rafinesque, 1817)								Animalia	Arthropoda	Malacostraca	Decapoda		Cambaridae				Faxonius	Orconectes			limosus			SPECIES		gevlekte Amerikaanse rivierkreeft	ICZN	SYNONYM			823dc56e-f987-495c-98bf-43318719e30f	BE	2025-11-25T19:53:37.163Z										true	false	2227000	8909595	1	54	229	637	4479	4646327		8909595	Faxonius limosus	Faxonius limosus (Rafinesque, 1817)	Orconectes limosus		EML	2025-11-25T19:53:37.163Z	2025-11-18T12:15:18.894Z		false			false	EUROPE	EUROPE	BEL	Belgium	BEL.2_1	Vlaanderen	BEL.2.1_1	Antwerpen	BEL.2.1.3_1	Turnhout	
